"streetID","dateRated","dateLastOverlay","overall","crack","patch","width"
12563570,"6/14","1991",6,3,5,25
12563572,"4/15","",5,3,2,27
12563573,"6/14","2003",7,3,4,27
12564359,"6/15","",8,3,5,NA
12564360,"6/15","1989",6,4,2,27
12564362,"6/15","",7,4,3,23
12564365,"6/15","1988",8,4,5,27
12564367,"6/15","1991",8,4,4,27
12564368,"6/15","1991",6,3,3,28
12564369,"5/14","2001",6,2,4,40
12564371,"4/15","",6,2,4,26
12564372,"4/15","",4,2,3,15
12564373,"4/15","",6,2,3,26
12564375,"5/14","2005",8,4,5,27
12564376,"5/14","2001",6,2,4,40
12564377,"5/14","2001",6,3,3,40
12564378,"6/15","",6,3,4,27
12564379,"6/15","",6,2,4,27
12564382,"6/15","",6,3,4,27
12564383,"5/14","2001",6,3,3,40
12564384,"5/14","2001",5,2,4,40
12564386,"5/14","2001",6,3,4,40
12564388,"5/14","2001",5,3,3,40
12564389,"6/15","",6,3,4,27
12564393,"6/15","1991",5,2,3,27
12564395,"6/15","1991",5,3,1,28
12564396,"5/14","2001",5,3,3,40
12564398,"6/15","1991",6,2,4,28
12564403,"6/15","",5,3,5,24
12564404,"6/15","1995",6,3,5,24
12564405,"6/15","1991",6,3,4,28
12564407,"6/15","1991",5,3,4,28
12564408,"6/15","1991",6,3,3,30
12564409,"6/15","1995",5,3,2,28
12564410,"6/15","1995",5,3,2,20
12564411,"6/15","",5,3,1,28
12564412,"6/15","",7,3,5,22
12564415,"6/15","1991",5,2,3,30
12564416,"6/15","1995",5,2,3,28
12564417,"6/15","2004",4,2,2,16
12564419,"6/15","",7,3,5,22
12564420,"6/15","1995",5,3,5,25
12571593,"3/15","2002",7,3,5,30
12571594,"3/15","2002",7,3,4,30
12571628,"4/14","1994",5,2,3,24
12571629,"4/14","2002",7,3,5,28
12571630,"4/14","1994",5,2,3,24
12571631,"3/15","1990",5,3,3,30
12571633,"4/14","",6,2,5,28
12571634,"4/14","2002",6,3,5,25
12571636,"4/14","1994",5,2,2,24
12571694,"6/14","2003",6,3,2,27
12571701,"6/14","2003",5,3,2,30
12571702,"4/15","1991",5,3,2,30
12571704,"4/15","1991",6,3,3,30
12571705,"4/15","",5,3,5,28
12571706,"4/15","",6,3,4,28
12571707,"4/15","",6,3,3,26
12571708,"4/15","",7,3,5,26
12571709,"6/14","2003",6,3,4,30
12571710,"4/15","1991",5,3,2,27
12571711,"4/15","1991",6,3,4,28
12571712,"6/14","2003",5,3,3,30
12571713,"6/14","2003",6,3,3,30
12571714,"4/15","1996",8,4,4,25
12571720,"4/15","1990",5,3,3,30
12571721,"4/15","",6,3,4,28
12571722,"4/15","",7,3,5,25
12571723,"4/15","",6,3,3,26
12571724,"4/15","",7,3,4,28
12571728,"4/15","1991",7,3,4,12
12571730,"6/14","",5,3,2,28
12571732,"6/14","",6,3,4,26
12571733,"6/14","1991",6,3,3,27
12571734,"6/14","",6,3,3,26
12571735,"6/14","",5,3,3,22
12571736,"6/14","",6,3,4,27
12571737,"4/15","",5,2,3,27
12571738,"4/15","",6,3,3,25
12571739,"4/15","2004",6,3,3,27
12571740,"4/15","2004",8,3,5,27
12571744,"6/14","2003",5,3,3,30
12571746,"4/15","2004",6,3,4,26
12571747,"4/15","",7,4,4,26
12571748,"6/14","",6,4,3,22
12571749,"6/14","2004",6,3,3,30
12571750,"6/14","2004",6,3,3,30
12571751,"6/14","2004",6,3,3,30
12571752,"6/14","",8,4,5,24
12571754,"6/14","",5,3,2,28
12571755,"4/15","1996",6,3,3,28
12571758,"4/15","1996",6,4,2,28
12571760,"4/15","1996",6,4,2,28
12571761,"4/15","1996",6,4,3,28
12571762,"4/15","",7,3,5,28
12571763,"4/15","1996",7,4,5,27
12571764,"4/15","",7,3,5,28
12571767,"4/15","1996",6,3,3,28
12571768,"4/15","1996",6,4,3,28
12571769,"4/15","2004",8,3,5,27
12571770,"4/15","1996",6,3,3,28
12571771,"4/15","1996",7,4,3,28
12571772,"6/14","1991",6,3,3,27
12571773,"6/14","1991",7,4,3,27
12571774,"6/14","2004",7,4,4,30
12571775,"6/14","",6,4,3,25
12571776,"4/15","2008",8,4,4,26
12571777,"6/14","2004",7,4,3,30
12571778,"6/14","2004",6,4,3,30
12571779,"4/15","2008",8,4,5,30
12571780,"6/14","1991",6,3,4,32
12571781,"4/15","2008",8,4,5,30
12571782,"4/15","2008",8,4,5,30
12571783,"6/14","",6,4,4,31
12571784,"6/14","",6,3,4,29
12571786,"6/14","",7,4,5,29
12571787,"6/14","",7,4,5,29
12571788,"4/15","1995",8,4,4,21
12571789,"4/15","1995",8,4,5,21
12571805,"6/14","2004",8,4,5,30
12571807,"6/14","1995",5,3,2,30
12571809,"6/14","1995",6,3,3,30
12571810,"6/14","",4,2,4,27
12571818,"6/14","1995",7,4,4,30
12571819,"6/14","1995",4,2,4,23
12571821,"6/14","",5,3,2,22
12571827,"4/15","2005",8,3,5,24
12571832,"6/14","2005",6,3,3,25
12571834,"4/14","2005",6,3,3,25
12571835,"3/15","2005",8,4,4,32
12571842,"4/15","2005",8,3,5,24
12571846,"6/14","2005",5,3,2,36
12571847,"6/14","2005",6,3,2,36
12571848,"4/14","2000",6,3,3,27
12571849,"3/14","1996",7,4,4,36
12571850,"4/15","2004",7,4,4,36
12571856,"6/14","1999",7,4,3,30
12571857,"6/14","2005",6,3,2,36
12571858,"6/14","",3,2,4,27
12571859,"6/14","1995",7,3,4,28
12571860,"6/14","2005",6,4,2,36
12571861,"6/14","2001",6,3,2,28
12571862,"6/14","1989",3,2,3,27
12571863,"3/15","2004",8,4,5,32
12571864,"4/14","1998",7,3,5,21
12571865,"4/14","2003",7,3,5,28
12571866,"3/15","2004",8,4,5,32
12571867,"4/14","",5,3,5,26
12571868,"4/14","2000",6,3,3,27
12571869,"4/14","2003",6,3,3,28
12571870,"6/14","",3,2,4,27
12571871,"3/14","1994",5,2,3,21
12571872,"3/14","1986",6,3,5,24
12571873,"4/14","2001",5,3,4,27
12571879,"3/15","2008",5,2,2,36
12571880,"3/14","1994",5,2,3,21
12571881,"6/14","",3,2,4,27
12571882,"4/15","2003",8,4,4,27
12571883,"4/15","2004",7,4,4,36
12571884,"4/15","1999",6,3,4,24
12571885,"6/14","2001",6,3,3,28
12571887,"6/14","1989",4,2,3,27
12571888,"3/14","",3,2,3,34
12571889,"3/14","2003",7,3,4,36
12571890,"3/14","2003",7,3,4,36
12571891,"3/15","2004",5,2,5,18
12571896,"4/15","2004",5,3,3,27
12571898,"4/15","2004",5,3,2,27
12571899,"4/15","1991",2,2,3,24
